The Lowell Offering: Writings by New England Mill Women (1840-1845),Benita Eisler,309,December 1997
The Best American Poetry 2010,Amy Gerstler,310,September 2010
Inside Out/Outside In: Exploring American Literature,Victoria Holder,311,July 2005
Glencoe Literature: American Literature: The Reader's Choice,Jeffrey D. Wilhelm,312,January 2006
Transcendentalism: A Reader,Joel Myerson,313,December 2000
The Best American Short Stories 2002,Sue Miller,314,October 2002
A Loving Voice: A Caregiver's Book of Read-Aloud Stories for the Elderly,Carolyn Banks,315,January 1992
Hispanic Caribbean Literature of Migration: Narratives of Displacement,Vanessa Y. P&#233;rez Rosario,316,June 2010
American Political Plays after 9/11,Allan Havis,317,June 2010
"Best Plays of the Early American Theatre, 1787-1911",John Gassner,318,June 2000
"Glances Backward: An Anthology of American Homosexual Writing, 1830-1920",James J. Gifford,319,September 2006
"American Poetry: The Nineteenth Century (Melville to Stickney, American Indian Poetry, Folk Songs and Spirituals) (Library of America), Vol. 2",Various,320,September 1993
Deaf Way II Anthology: A Literary Collection of Deaf and Hard of Hearing Writers,Tonya M. Stremlau,321,June 2002
American Short Story and Its Writer: An Anthology,Ann Charters,322,August 1999
Orpheus and Company: Contemporary Poems on Greek Mythology,Deborah De Nicola,323,April 1999
Poems That Live Forever,Hazel Felleman,324,June 1965
The Best American Nonrequired Reading 2008,Dave Eggers,325,October 2008
American Negro Poetry,Arna Bontemps,326,December 1995
Paradise Road: Jack Kerouac's Lost Highway and My Search for America,Jay Atkinson,327,March 2010
The Black Woman: An Anthology,Toni Cade Bambara,328,March 2005
Thom Pain (based on nothing),Will Eno,329,April 2005
American Fantastic Tales: Terror and the Uncanny from Poe to the Pulps,Peter Straub,330,October 2009
100 Poems by 100 Poets,Harold Pinter,331,January 1994
"Chocolate Thoughts: Short Stories, Essays and Poetry from the Hearts and Minds of Real Black Men",S. James Guitard,332,May 2006
Oxford Anthology of African American Poetry,Arnold Rampersad,333,October 2005
"Freedom in This Village: Twenty-Five Years of Black Gay Men's Writing, 1979 to the Present",E. Lynn Harris,334,September 2004
Bandana Republic: A Literary Anthology by Gang Members and Their Affliliates,Louis Reyes Rivera,335,May 2008
The Civil Rights Reader: American Literature from Jim Crow to Reconciliation,Julie Buckner Armstrong,336,January 2009
American Sonnets: An Anthology,David Bromwich,337,October 2007
Voices in First Person: Reflections on Latino Identity,Lori Marie Carlson,338,August 2008
Montana Women Writers: A Geography of the Heart,Farcountry Press,339,October 2006
81 Famous Poems,Alexander Scourby,340,August 1993
Califauna: A Literary Field Guide,Terry Beers,341,April 2007
Thousand and One Afternoons in Chicago,Ben Hecht,342,June 2009
Philadelphia Stories: America's Literature of Race and Freedom,Samuel Otter,343,April 2010
"Voices of Black America: Historical Recordings of Poetry, Humor and Drama, 1908-1947",Washington,344,February 2002
The Wind Shifts: New Latino Poetry,Francisco Arag&#243;n,345,April 2007
Slamma Lamma Ding Dong: An Anthology by Nebraska's Slam Poets,J. M. Huscher,346,July 2005
Shadowed Dreams: Women's Poetry of the Harlem Renaissance,Maureen Honey,347,October 2006
"Appalachia Inside Out: Conflict and Change, Vol. 1",Robert J. Higgs,348,March 1995
Writing Los Angeles: A Literary Anthology,David L. Ulin,349,September 2002
On Grandma's Porch: Stories and True Facts about Growing up Southern in the Good Old Days,Sandra Chastain,350,June 2007
Tuscany in Mind,Alice Leccese Powers,351,May 2005
Don't Squat With Yer Spurs On!: A Cowboy's Guide to Life,Texas Bix Bender,352,October 2000
Love and Marriage in Early African America,Frances Smith Foster,353,December 2007
"Twenty One-Acts from the Twenty Years at the Humana Festival, 1975-1995",Michele Volansky,354,December 1995
American Austen: The Forgotten Writing of Agnes Repplier,Agnes Repplier,355,May 2009
American Gothic: An Anthology 1787-1916 (Blackwell Anthologies Series),Crow,356,June 1999
The Best American Poetry 2009,David Wagoner,357,September 2009
Bold Words: A Century of Asian American Writing,Rajini Srikanth,358,January 2001
Another Way to Dance: Contemporqary Asian Poetry from Canada and the United States,Cyril Dabydeen,359,January 1996
The Best American Poetry 2003,Yusef Komunyakaa,360,August 2003
Plays and Playwrights 2002,Martin Denton,361,January 2002
"Why Freedom Matters: The Spirit of the Declaration of Independence in Prose, Poetry, and Song from 1776 to the Present",Daniel Katz,362,September 2003
The Best American Short Plays 2006-2007,Barbara Parisi,363,June 2010
Forced Passages: Imprisoned Radical Intellectuals and the U.S. Prison Regime,Dylan Rodriguez,364,January 2006
Selected Works,Ralph Waldo Emerson,365,April 2002
Getting Home Alive,Aurora Levins Morales,366,December 1986
Twentieth-Century American Poetry,Dana Gioia,367,December 2003
